product_name,product_company,product_price,product_link
AMD Ryzen 7 5700X 3.4GHz 8-Core / 16-Thread AM4 Desktop Processor,Antonline.com,$190,https://slickdeals.net/f/16333099-amd-ryzen-7-5700x-8-core-16-thread-desktop-processor-without-cooler-189-99-free-shipping
AMD Ryzen 7 5800X3D 8-core 16-thread Desktop Processor $299.99 + FS @ Antonline,Antonline.com,$299.99,https://slickdeals.net/f/16333081-amd-ryzen-7-5800x3d-8-core-16-thread-desktop-processor-299-99-fs-antonline
Intel Core i7-13700KF 16-Core (8P+8E) 24 threads Unlocked Desktop Processor - $369.99 + Free Shipping,eBay,,https://slickdeals.net/f/16333864-intel-core-i7-13700kf-16-core-8p-8e-24-threads-unlocked-desktop-processor-369-99-free-shipping
"ASUS TUF Gaming A17 Laptop: AMD Ryzen 5 4600H, 17.3"" 144Hz, GTX 1650, 8GB RAM, 512GB SSD $699 + Free Shipping",ASUS,$699,https://slickdeals.nethttps://e-10293.adzerk.net/r?e=eyJ2IjoiMS4xMSIsImF2IjoxOTI5NDc1LCJhdCI6MTYyLCJidCI6NDgsImNtIjoxMDUwNzMzNjQsImN0IjoidGVjaCxjb21wdXRlcnMiLCJjaCI6MzkyOTMsImNrIjp7fSwiY3IiOjEyNzM2NzIzMCwiZGkiOiIwZjU4NmE0ZTZjMGE0YzM5OTY4NDBiYjEzMzA5ZGZlMyIsImRqIjoxLCJpaSI6IjQyZTlhNmE1ZDA4NzQzYjY5OTQ5OGVmZjMyMWZlMzEwIiwiZG0iOjMsImZjIjozMjI0MjA3NzQsImZsIjozMTI5ODA2NzEsImlwIjoiMTAzLjIxNy43OS4yNTQiLCJrdyI6ImNhdCBjb21wdXRlcnMiLCJtayI6ImNhdCBjb21wdXRlcnMiLCJudyI6MTAyOTMsInBjIjoxOTY3LCJvcCI6MTk2NywiZWMiOjAsImdtIjowLCJlcCI6bnVsbCwicHIiOjE1NzQxMSwicnQiOjEsInJzIjo1MDAsInNhIjoiMTgiLCJzYiI6ImktMDI5MDI5YzI2YjU0MTlkNWYiLCJzcCI6MTAxNzQ0OCwic3QiOjEwODg5MjksInRyIjp0cnVlLCJ1ayI6IjA4NjgyYjNjODJhMjExZWQ5MGEyMzZhM2JlNDQ5MWI3IiwidHMiOjE2NzE3ODY3OTU4NDIsImJmIjp0cnVlLCJwbiI6ImNhdGVnb3J5RGVhbHMiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQW1lcmljYS9Mb3NfQW5nZWxlcyIsInVyIjoiaHR0cHM6Ly9zbGlja2RlYWxzLm5ldC9wYWlkUGxhY2VtZW50cy5waHA_dGhyZWFkaWQ9MTYzMzE4NzUmc3JjPWZhLSVjb252ZXJzaW9uaWQlIn0&s=OQX8n2klbeLeX2UC8m5P2so9c7E
"AOC - G2 Series C27G2 27"" LED Curved FHD FreeSync Premium Monitor (DisplayPort, HDMI, VGA) - Black/Red $199.99",Best Buy,$199.99,https://slickdeals.net/f/16333831-aoc-g2-series-c27g2-27-led-curved-fhd-freesync-premium-monitor-displayport-hdmi-vga-black-red-199-99
Costco Members: Lenovo IdeaCentre 5 Gaming Desktop - 12th Gen Intel Core i7-12700 - GeForce RTX 3060 - Windows 11 - $799.97 +$15 S&H,Costco Wholesale,$799.97,https://slickdeals.net/f/16332226-costco-members-lenovo-ideacentre-5-gaming-desktop-12th-gen-intel-core-i7-12700-geforce-rtx-3060-windows-11-799-97-15-s-h
2TB PNY CS900 2.5” SATA III SSD $100 + free s/h,Walmart,$100,https://slickdeals.net/f/16332997-2tb-pny-cs900-2-5-sata-iii-ssd-100-free-s-h
"Best Buy: ASUS 17.3"" Chromebook Intel Celeron N4500 4GB Memory 64GB eMMC Transparent Silver $179 + Free Shipping",Best Buy,$179,https://slickdeals.nethttps://e-10293.adzerk.net/r?e=eyJ2IjoiMS4xMSIsImF2IjoxOTI5NDc1LCJhdCI6MTYyLCJidCI6NDgsImNtIjoxMDUxMjY1MDAsImN0IjoidGVjaCxjb21wdXRlcnMiLCJjaCI6MzkyOTMsImNrIjp7fSwiY3IiOjEyNzQ1MDY4MiwiZGkiOiIwZjU4NmE0ZTZjMGE0YzM5OTY4NDBiYjEzMzA5ZGZlMyIsImRqIjowLCJpaSI6ImQwYTQ3YzlkMjIwMDQ4MzA5MDg4NGVhYjE2MWY4YTdjIiwiZG0iOjMsImZjIjozMjI0NzA4ODYsImZsIjozMTMwMjg2NzMsImlwIjoiMTAzLjIxNy43OS4yNTQiLCJrdyI6ImNhdCBjb21wdXRlcnMiLCJtayI6ImNhdCBjb21wdXRlcnMiLCJudyI6MTAyOTMsInBjIjowLCJvcCI6MCwiZWMiOjAsImdtIjowLCJlcCI6bnVsbCwicHIiOjE1NzQxMSwicnQiOjEsInJzIjo1MDAsInNhIjoiMTgiLCJzYiI6ImktMDI5MDI5YzI2YjU0MTlkNWYiLCJzcCI6MTAxNzQ0OCwic3QiOjEwODg5MjksInRyIjp0cnVlLCJ1ayI6IjA4NjgyYjNjODJhMjExZWQ5MGEyMzZhM2JlNDQ5MWI3IiwidHMiOjE2NzE3ODY3OTU4NDEsImJmIjp0cnVlLCJwbiI6ImNhdGVnb3J5RGVhbHMiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQW1lcmljYS9Mb3NfQW5nZWxlcyIsInVyIjoiaHR0cHM6Ly9zbGlja2RlYWxzLm5ldC9wYWlkUGxhY2VtZW50cy5waHA_dGhyZWFkaWQ9MTYzMzI4MjMmc3JjPWZhLSVjb252ZXJzaW9uaWQlIn0&s=KmTjdYIURmif5wDkVRwiiZeBiwM
"Gunnar Optiks Gaming Glasses: Vertex Onyx $20, Intercept Onyx $22 & More + S&H",EyeDictive,$20,https://slickdeals.net/f/16332244-gunnar-optiks-gaming-glasses-vertex-onyx-20-intercept-onyx-22-more-s-h
"Lenovo ThinkBook 14p Gen3 Laptop: 14"" 2.2K IPS, Ryzen 7 6800H, 16GB, 512GB SSD",Lenovo,$706.70,https://slickdeals.net/f/16331455-lenovo-thinkbook-14p-gen3-14-2-2k-ips-ryzen-7-6800h-16gb-lpddr5-512gb-gen4-ssd-usb4-706-70-more-f-s-706-79
